,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall
53,[1024],0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7869475239816507,0.7869197431018484,0.8070250621017399,0.7384528901497214,0.8905299098281109
54,[1024],0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8102821141491574,0.8102065662438733,0.8062092594182964,0.821371050791401,0.7929158146366301
55,[1024],0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8375165849755899,0.837407575594322,0.8429757740952745,0.8149435413722126,0.8737957242902142
56,[1024],0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6772961034964736,0.6772759695981833,0.6852903916582509,0.6687263226297062,0.7051661045073192
57,[1024],0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6843338874786583,0.6842072755246458,0.6823620872541873,0.686235489217841,0.6797131031521424
58,[1024],0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6949770246499549,0.6943120761603137,0.6872341497091481,0.7032432036961527,0.6757792161529064
59,[1024],0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7170493596230215,0.7171450981670604,0.7253012210939024,0.7048784485883223,0.7471708550818892
60,[1024],0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6562270787736934,0.6568257456050756,0.6190676699962072,0.6986083939494714,0.5901890517414843
61,[1024],0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7172199048195739,0.7172135825064732,0.6978166580091791,0.7501585685967063,0.6586100654491747
62,[1024],0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6770815140760869,0.67549429657841,0.6540453042782277,0.7244039156385347,0.644492676197739
63,[1024],0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7296419984738757,0.7286403185827297,0.7553227541700965,0.6994579781113287,0.8308126817751511
64,[1024],0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7705720532466273,0.770465393067308,0.763836338501483,0.7858940472935518,0.7441995481019255
65,[1024],0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7952025284346547,0.795072155727796,0.8124467214939928,0.7494595530674195,0.8874773032831816
66,[1024],0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8234448658103908,0.8234334059261885,0.8254731621294088,0.8161718083294597,0.8353887521196594
67,[1024],0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8544601309214318,0.8545835949153933,0.860206396857294,0.8271228425488182,0.8965426677168054
68,[1024],0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6667835424970159,0.6665861316986388,0.6555517931250421,0.6773288739025639,0.6360771780627122
69,[1024],0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6845522407982335,0.6843364395763829,0.6799287652629944,0.6893323471209921,0.6720822668676518
70,[1024],0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6855531455490382,0.6852545569597851,0.6745855743970863,0.6972633077437658,0.657216679614029
71,[1024],0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7222608317990805,0.7223220285757745,0.7318854965617246,0.7071274690939024,0.7586698943456074
